Sample.code,Latitude,Longitude,Region,Season.planted,Grain.As,Grain.P,Grain.S,Grain.Mn,Grain.Fe,Grain.Cu,Straw.As,Straw.Al,Straw.P,Straw.S,Straw.Mn,Straw.Fe,Soil.As,Soil.Al,Soil.P,Soil.S,Soil.Mn,Soil.Fe,Soil.pH,Soil.Clay,Soil.SOM,Temperature,Rainfall,Humidity,Potential.Evaporation
23Vin12_#1,9.4234,105.5691,South,Winter-Spring season,0.18,2768.8,658.37,16.34,19.2,1.49,0.65,518.9,1427.99,1987.4,471.14,362.0,7.56,79922.06,260.1,842.08,144.31,23940.82,4.11,39.94,9.75,27.28,5.49,82.8,5.81
23Vin13_#1,9.549,105.5836,South,Winter-Spring season,0.37,2994.26,916.94,23.6,14.21,3.5,0.7,204.6,1868.88,2213.54,1190.14,209.0,12.52,72616.12,786.57,617.42,295.84,37760.15,4.02,36.39,5.98,27.24,5.29,83.16,5.65
23Vin14_#1,9.4431,105.4747,South,Winter-Spring season,0.23,2755.49,996.65,23.07,18.47,1.25,0.61,442.37,1887.63,2833.89,1043.77,400.19,7.56,76200.35,375.85,1916.03,154.71,19314.78,3.41,41.77,12.74,27.28,5.49,82.8,5.81
23Vin15_#1,9.1471,105.0636,South,Winter-Spring season,0.18,3358.7,1309.21,19.27,19.65,3.39,0.58,419.47,2895.66,2605.21,1139.43,568.18,5.71,73377.18,246.81,1076.57,170.46,21081.61,3.62,39.33,11.83,27.36,5.82,82.8,5.93
23Vin16_#1,9.1118,105.0212,South,Winter-Spring season,0.41,3037.51,1053.18,16.48,14.0,1.36,1.19,232.16,1655.97,1352.97,583.25,289.16,3.32,33388.37,181.35,56.74,202.19,23253.51,4.0,41.69,8.45,27.36,5.82,82.8,5.93
23Vin17_#1,9.0821,104.9854,South,Winter-Spring season,0.26,3505.19,1273.39,25.47,15.58,3.86,0.49,644.56,1512.26,1717.09,885.35,292.81,5.38,80187.91,285.51,1106.23,271.06,23967.31,4.44,43.63,12.09,27.38,5.72,82.97,6.12
23Vin18_#1,9.0703,104.9328,South,Winter-Spring season,0.13,3065.3,1052.22,25.26,7.26,2.09,1.11,1782.06,2005.3,1919.27,1200.97,903.45,11.87,75800.49,402.09,1459.05,450.64,35663.31,4.11,36.79,8.06,27.38,5.72,82.97,6.12
23Vin19_#1,9.3125,104.9269,South,Winter-Spring season,0.14,3717.06,1060.61,19.59,13.74,0.36,0.81,1031.23,2245.2,1005.91,633.02,803.74,10.92,53361.42,337.7,5575.07,489.41,37645.38,4.93,23.39,9.62,27.29,5.61,82.71,5.81
23Vin20_#1,9.3135,104.8852,South,Winter-Spring season,0.13,2724.77,825.38,10.94,2.3,0.33,0.92,297.4,669.96,1739.26,889.66,442.98,10.38,72664.25,259.91,1932.3,264.32,28670.65,4.28,36.39,12.35,27.29,5.61,82.71,5.81
23Vin21_#1,9.3675,104.8752,South,Winter-Spring season,0.3,3205.92,1000.08,11.54,,1.53,1.38,367.35,1077.12,1218.94,507.0,468.33,13.47,81741.72,316.43,1272.04,195.71,31929.41,3.91,38.8,11.05,27.29,5.61,82.71,5.81
23Vin22_#1,9.868,105.2149,South,Winter-Spring season,0.21,2735.19,933.55,10.93,4.29,1.5,1.88,651.23,1826.13,2108.1,318.7,800.29,8.24,64400.79,279.62,1756.59,69.92,16679.04,3.29,31.13,17.68,27.21,4.86,83.21,5.75
23Vin23_#1,9.817,105.2382,South,Winter-Spring season,0.2,2836.0,950.67,12.22,349.68,1.66,0.57,987.28,1680.18,1907.82,360.85,830.99,7.1,76013.78,271.07,568.43,87.77,25927.82,3.32,40.09,12.22,27.21,4.86,83.21,5.75
23Vin24_#1,9.7738,105.2827,South,Winter-Spring season,0.24,3031.26,950.9,10.82,,0.89,1.22,601.67,1839.71,1278.68,416.46,574.68,7.7,72267.29,275.11,442.69,138.76,20516.69,3.77,37.53,12.22,27.2,4.96,83.34,5.58
23Vin25_#1,9.7449,105.3601,South,Winter-Spring season,0.17,2849.95,962.38,10.1,14.08,1.19,0.48,870.88,1866.71,1565.52,280.21,551.92,7.82,71735.41,218.74,693.68,91.16,26299.63,4.0,49.59,10.14,27.2,4.96,83.34,5.58
23Vin26_#1,9.7388,105.4306,South,Winter-Spring season,0.18,2912.11,892.61,20.19,,1.28,1.49,568.71,1329.87,1008.99,851.11,367.21,7.34,78055.91,309.75,56.87,203.29,27591.42,4.11,41.46,6.89,27.2,4.96,83.34,5.58
23Vin27_#1,9.7899,105.5077,South,Winter-Spring season,0.07,2730.87,985.53,19.58,0.43,1.53,0.45,613.2,1877.52,1554.01,1099.42,680.24,8.76,74854.38,469.78,2134.16,231.96,20461.49,3.23,32.59,22.49,27.2,4.96,83.34,5.58
23Vin28_#1,9.8812,105.6002,South,Winter-Spring season,0.23,2976.08,1009.76,20.37,5.94,1.62,0.34,461.92,1364.78,1937.01,991.97,421.16,7.92,94267.73,277.04,2213.79,299.19,22923.87,3.49,63.8,13.65,27.21,4.86,83.21,5.75
23Vin29_#1,10.4666,106.2099,South,Winter-Spring season,0.29,3636.97,1198.01,20.23,,3.4,0.31,85.3,1425.14,2190.25,723.0,270.72,7.82,92526.63,542.47,4042.08,132.54,26655.61,3.3,29.8,15.21,27.37,4.59,80.93,6.88
23Vin30_#1,10.4899,106.1253,South,Winter-Spring season,0.1,3356.29,986.86,20.67,148.97,2.8,0.21,176.65,853.7,1788.17,640.14,234.67,9.51,94194.96,328.18,5123.27,217.8,43351.81,3.37,62.18,12.22,27.37,4.59,80.93,6.88
23Vin31_#1,10.8236,105.9294,South,Winter-Spring season,0.16,2980.94,999.93,15.66,6.73,3.02,0.49,88.5,962.75,1700.01,798.23,123.59,5.74,85776.71,377.63,1954.47,68.28,14833.14,3.82,33.19,7.28,27.26,4.57,80.36,6.87
23Vin32_#1,10.9284,105.722,South,Winter-Spring season,0.1,2890.33,1082.91,20.04,25.0,3.28,0.64,82.66,1957.26,1899.91,879.99,136.85,2.3,30932.26,318.73,742.66,36.71,6122.65,3.89,12.74,3.9,27.08,4.51,81.17,6.59
23Vin33_#1,10.807,105.4049,South,Winter-Spring season,0.28,3129.1,1161.11,18.13,15.73,2.6,1.3,387.24,1211.32,1730.34,984.4,266.47,20.33,96619.7,539.26,2390.6,155.91,40354.41,3.76,38.77,17.29,27.26,4.57,80.36,6.87
23Vin34_#1,10.6383,105.406,South,Winter-Spring season,0.34,3117.57,1136.46,14.29,11.35,1.19,3.57,123.03,1959.23,1195.59,305.21,119.72,13.16,81722.71,486.85,464.27,206.47,31375.87,4.65,32.64,11.96,27.38,4.47,81.2,6.18
23Vin35_#1,10.5967,105.5066,South,Winter-Spring season,0.19,3083.21,1171.7,13.93,20.78,1.75,1.68,140.06,1608.47,1315.38,584.84,180.15,9.24,81924.31,384.05,652.78,202.46,31743.02,4.58,30.7,7.67,27.4,4.54,80.26,6.18
23Vin36_#1,10.509,105.6596,South,Winter-Spring season,0.17,3000.92,1126.63,12.16,15.63,1.5,1.53,120.84,1509.53,1378.73,512.66,121.03,7.9,96790.54,278.12,1667.06,161.46,30127.84,4.31,34.0,7.41,27.4,4.54,80.26,6.18
23Vin37_#1,10.3837,105.6468,South,Winter-Spring season,0.15,3203.33,1249.26,22.95,10.77,2.14,1.31,225.78,1177.91,1995.51,776.81,399.97,12.62,113755.07,455.27,2607.29,160.14,36540.89,4.0,32.45,17.68,27.31,4.61,81.87,6.56
23Vin38_#1,10.3365,105.6069,South,Winter-Spring season,0.28,3589.3,1077.98,13.66,19.9,2.19,3.42,508.22,1317.17,1018.27,621.99,503.1,8.36,115102.5,369.93,1980.31,146.53,28233.0,3.8,34.83,12.09,27.31,4.61,81.87,6.56
23Vin39_#1,10.3803,105.1477,South,Winter-Spring season,0.18,3599.64,1375.4,19.92,14.44,3.59,0.83,264.83,1677.31,1334.07,731.28,191.31,6.78,91387.57,353.71,2008.44,169.97,22075.96,3.65,34.59,12.09,27.31,4.61,81.87,6.56
23Vin40_#1,10.3718,105.1544,South,Winter-Spring season,0.16,2914.28,949.07,19.24,15.69,2.34,0.78,572.82,1481.11,1194.84,646.29,402.07,7.73,84983.15,410.22,1822.78,200.65,28161.45,4.07,29.68,14.56,27.31,4.61,81.87,6.56
23Vin41_#1,10.4242,105.0079,South,Winter-Spring season,0.15,3335.18,950.83,17.47,5.28,2.62,0.4,109.49,1463.09,1963.24,912.41,115.29,7.49,107651.07,421.25,2328.83,106.17,25608.18,3.51,72.76,11.05,27.37,4.59,80.93,6.88
23Vin42_#1,10.4757,105.0215,South,Winter-Spring season,0.11,3073.85,898.07,20.5,13.23,0.91,0.8,240.63,1447.71,1076.75,601.33,356.85,0.42,8829.0,77.64,856.78,64.89,2792.03,4.85,7.04,4.94,27.37,4.59,80.93,6.88
23Vin43_#1,10.6143,105.0205,South,Winter-Spring season,0.23,3001.73,938.3,17.08,50.62,2.11,0.37,198.28,2573.96,863.93,771.57,184.24,0.39,8176.38,114.05,857.51,124.47,2648.55,4.75,4.8,3.64,27.38,4.47,81.2,6.18
23Vin44_#1,10.6541,105.0502,South,Winter-Spring season,0.26,3109.59,1103.65,11.0,23.03,1.74,0.65,109.74,1150.75,1520.07,434.27,159.41,11.33,93452.13,561.56,2804.44,101.34,30231.81,3.85,50.77,10.53,27.38,4.47,81.2,6.18
23Vin45_#1,9.9038,105.151,South,Winter-Spring season,0.29,3162.89,1142.86,11.18,23.66,1.77,1.56,223.9,1290.2,1554.01,332.75,613.56,9.22,61262.05,350.26,2093.84,121.24,24086.07,3.55,29.29,8.84,27.22,4.67,83.2,5.57
23Vin46_#1,9.9592,105.1572,South,Winter-Spring season,0.12,3190.56,1042.54,14.31,,6.09,0.51,211.41,1588.05,2727.14,523.95,406.95,5.6,62534.74,165.12,1697.97,95.39,16174.79,3.4,15.41,6.89,27.22,4.67,83.2,5.57
23Vin47_#1,10.0426,105.2274,South,Winter-Spring season,0.2,3040.8,968.36,11.86,17.48,1.13,1.16,365.49,1537.78,966.13,378.64,218.24,6.39,76891.54,341.15,1749.05,189.01,26083.82,3.41,36.59,10.14,27.2,4.61,83.32,6.05
23Vin48_#1,10.0949,105.2805,South,Winter-Spring season,0.18,2974.21,975.73,25.73,0.5,2.45,0.54,233.67,1354.86,1540.63,2157.94,167.33,7.03,92156.53,256.57,1986.43,250.07,25917.32,3.61,40.58,10.01,27.2,4.61,83.32,6.05
23Vin49_#1,10.1897,105.3826,South,Winter-Spring season,0.12,3214.09,1113.17,22.37,0.96,3.02,0.45,428.18,1041.07,1670.05,1614.67,237.34,5.45,78405.07,285.95,1739.51,174.93,21678.97,3.54,35.11,13.39,27.21,4.6,83.15,6.31
23Vin50_#1,10.0904,105.4246,South,Winter-Spring season,0.16,2791.0,872.39,20.21,,1.54,0.53,224.24,1354.48,867.33,651.42,175.35,5.09,86789.47,275.95,2125.07,324.46,23029.16,3.8,38.72,8.71,27.2,4.61,83.32,6.05
23Vin51_#1,10.0668,105.5401,South,Winter-Spring season,0.22,2740.04,871.51,16.68,,1.55,0.7,170.88,1524.38,1044.67,873.07,188.61,4.68,86985.17,300.77,1618.23,351.7,24937.08,4.12,36.98,8.97,27.2,4.61,83.32,6.05
23Vin52_#1,10.0739,105.6583,South,Winter-Spring season,0.27,2599.27,782.64,17.59,3.67,1.77,0.82,267.49,1608.16,1155.47,995.59,257.17,6.33,80003.61,234.07,1917.45,254.4,22526.9,3.71,31.68,12.09,27.2,4.61,83.32,6.05
23Vin53_#1,15.8952,108.3531,,Winter-Spring season,0.38,2593.24,815.56,8.2,0.97,0.69,,,,,,,4.22,36755.64,170.65,1961.57,182.7,18849.98,3.52,,,25.8,4.75,83.03,4.67
23Vin54_#1,15.7133,108.4487,South Central ,Winter-Spring season,0.28,2802.42,925.02,12.08,,2.32,7.34,73.63,2114.78,1289.6,251.82,385.76,4.52,29438.79,316.17,1573.59,63.98,12149.35,3.77,10.73,4.48,25.8,4.75,83.03,4.67
23Vin56_#1,15.6143,108.4489,South Central ,Winter-Spring season,0.22,2226.9,690.37,27.11,,1.81,0.67,194.62,564.37,690.96,1201.59,375.93,2.74,42311.6,161.29,1282.97,554.1,31429.3,4.27,15.21,4.1,26.05,4.7,83.21,4.72
23Vin57_#1,15.7414,108.3676,South Central ,Winter-Spring season,0.23,2887.93,804.44,19.13,,0.73,0.77,72.84,1544.08,666.3,572.6,288.66,1.65,50985.15,219.71,1312.88,188.47,16085.27,4.25,18.05,6.63,25.8,4.75,83.03,4.67
23Vin58_#1,15.8889,108.2669,South Central ,Winter-Spring season,0.32,2413.7,840.77,22.26,,2.65,1.1,90.21,478.11,600.93,920.06,150.11,9.79,86368.4,290.33,1319.68,325.05,42217.6,3.89,19.39,7.41,25.91,5.0,83.89,4.58
23Vin59_#1,16.7203,107.306,North Central ,Winter-Spring season,0.38,2876.54,885.74,18.89,,1.82,2.71,159.47,1183.7,740.53,810.57,332.39,9.7,85940.96,283.67,1340.25,322.48,41509.99,4.16,14.63,9.36,26.14,4.7,86.06,5.46
23Vin60_#1,16.6889,107.4005,North Central ,Winter-Spring season,0.2,3197.12,921.07,16.17,,1.14,0.35,114.18,1868.49,727.84,479.39,416.72,,,,,,,4.02,6.98,18.14,25.78,5.63,86.39,5.06
23Vin61_#1,16.6495,107.4774,North Central ,Winter-Spring season,0.24,2881.8,974.75,17.89,,1.63,0.42,71.59,1457.16,933.66,576.65,255.68,3.03,50545.86,378.86,2154.93,107.35,12102.83,3.83,4.5,8.19,25.78,5.63,86.39,5.06
23Vin62_#1,16.5877,107.5865,North Central ,Winter-Spring season,0.24,3474.24,1116.36,13.65,,1.8,0.99,91.74,1784.38,1627.45,143.85,300.13,1.39,13493.77,240.93,1587.96,60.83,4075.12,3.71,4.08,3.12,25.46,6.32,86.26,5.31
23Vin63_#1,16.4791,107.6247,North Central ,Winter-Spring season,0.31,2886.31,976.3,23.44,,1.89,2.56,110.25,1252.55,850.27,878.8,354.59,1.12,9718.93,88.22,1209.57,101.29,4994.45,3.79,9.92,9.17,25.45,6.31,85.6,6.05
23Vin64_#1,16.368,107.7324,North Central ,Winter-Spring season,0.21,2536.75,760.83,23.57,,2.09,0.79,155.03,1049.63,1392.11,993.61,234.51,10.77,74213.92,409.44,1585.21,261.63,37510.96,3.86,8.32,14.43,25.83,5.69,83.81,5.08
23Vin65_#1,16.2757,108.0174,North Central ,Winter-Spring season,0.21,2894.5,846.39,24.98,,1.05,0.36,130.16,1082.07,753.66,779.53,409.11,7.29,87175.73,563.71,2145.71,189.73,30905.01,3.65,4.28,5.26,25.16,6.78,87.2,4.73
23Vin66_#1,16.2772,107.9387,North Central ,Winter-Spring season,0.09,2589.62,837.98,11.09,,0.82,0.41,70.29,1780.63,1516.43,443.85,359.51,1.54,21167.39,236.66,1431.58,52.34,5348.89,3.97,5.26,7.41,25.16,6.78,87.2,4.73
23Vin67_#1,16.2717,107.8723,North Central ,Winter-Spring season,0.29,2696.06,837.01,22.4,3.23,5.79,0.47,174.17,1428.63,1204.34,1321.14,371.75,2.65,36772.48,323.3,1294.01,123.09,12502.51,3.79,5.94,6.43,25.16,6.78,87.2,4.73
23Vin68_#1,16.3331,107.7603,North Central ,Winter-Spring season,0.3,2913.82,928.68,11.59,,1.53,1.32,208.37,1684.56,812.04,385.0,277.97,5.55,64983.07,446.25,2079.91,146.56,18980.94,3.8,13.6,14.24,25.83,5.69,83.81,5.08
23Vin69_#1,16.4199,107.5683,North Central ,Winter-Spring season,0.36,3304.61,1203.36,16.64,7.7,1.17,3.99,145.05,1770.17,1174.35,620.46,579.74,9.95,80831.15,535.26,1484.31,289.13,40644.45,3.86,10.08,5.85,25.45,6.31,85.6,6.05
23Vin70_#1,16.4996,107.5286,North Central ,Winter-Spring season,0.31,3230.29,907.99,16.35,,1.26,1.91,152.77,1118.58,1225.26,342.89,236.11,8.08,68627.37,268.07,1607.91,137.74,25772.73,3.9,23.07,4.48,25.45,6.31,85.6,6.05
23Vin71_#1,16.5056,107.4934,North Central ,Winter-Spring season,0.23,3089.51,827.11,15.34,3.92,1.93,1.02,83.54,1518.21,979.19,391.42,217.15,2.71,33439.63,280.57,1308.16,90.84,10761.38,3.94,11.14,4.68,25.46,6.32,86.26,5.31
23Vin72_#1,16.5964,107.3486,North Central ,Winter-Spring season,0.27,2725.19,966.25,14.46,1.72,3.17,2.54,194.47,1416.04,1635.32,665.5,336.99,6.75,79416.73,477.9,1625.57,161.06,22865.34,4.17,9.36,9.75,25.46,6.32,86.26,5.31
23Vin73_#1,16.9976,107.0542,North Central ,Winter-Spring season,0.26,3150.47,940.38,15.84,1.05,0.61,1.2,125.54,1875.56,696.67,488.53,457.15,3.63,39680.38,225.44,1291.07,113.48,17041.41,4.16,16.4,5.26,25.47,4.32,84.76,6.09
23Vin74_#1,16.6488,107.3033,North Central ,Winter-Spring season,0.33,3245.19,900.09,17.4,9.41,1.59,2.25,208.66,953.29,1202.43,270.54,329.71,5.4,51206.41,339.66,1501.74,110.22,16336.06,4.15,8.5,8.0,25.78,5.63,86.39,5.06
23Vin75_#1,16.7899,107.1966,North Central ,Winter-Spring season,0.32,3491.11,883.39,20.84,5.77,0.58,1.14,105.34,1809.5,738.53,494.16,318.16,5.53,49889.71,293.46,1357.76,298.07,26759.27,3.99,11.94,4.09,26.14,4.7,86.06,5.46
23Vin76_#1,16.8213,107.1255,North Central ,Winter-Spring season,0.37,3456.47,1061.77,17.15,12.41,2.22,2.08,98.43,1662.23,326.12,301.83,382.94,8.09,76435.47,366.17,1554.48,130.11,36747.5,4.12,21.92,7.21,25.68,4.4,85.46,5.43
23Vin77_#1,16.9731,107.0765,North Central ,Winter-Spring season,0.3,2695.54,907.89,9.51,8.63,1.71,1.66,113.77,944.43,1319.54,179.45,412.66,8.11,76436.35,373.29,1610.85,128.42,36413.78,4.0,9.8,4.29,25.47,4.32,84.76,6.09
23Vin78_#1,17.5953,106.5266,North Central ,Winter-Spring season,0.25,2975.41,791.54,14.18,19.87,0.63,0.79,748.93,1697.72,700.28,453.96,683.45,1.52,22065.48,165.02,1283.02,48.83,6747.81,4.32,9.22,5.46,24.59,4.21,84.74,6.26
23Vin79_#1,17.6885,106.4821,North Central ,Winter-Spring season,0.12,3059.37,776.81,8.62,0.89,0.27,0.32,193.29,1994.29,1125.1,174.57,237.95,0.81,12881.16,136.71,1167.77,41.03,3566.26,4.83,6.28,2.93,24.78,4.16,84.91,5.05
23Vin80_#1,17.7407,106.4419,North Central ,Winter-Spring season,0.19,2581.88,715.04,13.78,8.34,1.11,0.79,111.29,1093.27,492.18,516.79,207.03,2.99,22484.69,190.52,1281.69,72.95,16999.57,4.9,10.64,3.31,24.88,4.03,84.44,4.88
23Vin81_#1,17.8702,106.4295,North Central ,Winter-Spring season,0.26,2512.53,734.18,11.55,,0.27,3.34,99.64,1752.3,797.32,359.25,431.38,5.38,49437.95,224.49,1451.08,189.82,24178.83,4.05,15.72,6.04,24.95,3.83,83.42,5.2
23Vin82_#1,18.7377,105.7663,North Central ,Winter-Spring season,0.19,2991.08,803.51,18.34,8.9,2.87,0.64,227.17,524.21,1152.78,420.53,420.4,11.71,49111.51,309.67,1563.16,164.03,36845.91,4.39,17.0,1.76,24.88,3.74,78.88,4.31
23Vin83_#1,18.0763,106.3312,North Central ,Winter-Spring season,0.26,2563.28,850.78,9.1,1.97,2.68,0.62,143.02,1012.26,1531.67,271.19,313.46,0.81,5864.22,109.46,1004.88,78.71,2356.02,4.21,2.18,2.14,25.01,3.7,82.51,5.58
23Vin84_#1,18.1649,106.2829,North Central ,Winter-Spring season,0.18,2514.29,913.86,22.16,3.45,2.85,0.81,102.84,857.4,1503.44,1166.47,277.15,10.77,47814.89,196.01,1272.62,262.04,32211.6,4.32,21.2,4.29,25.12,3.92,81.67,5.33
23Vin85_#1,18.2207,106.16,North Central ,Winter-Spring season,0.12,1890.23,811.13,19.18,3.69,2.55,0.35,168.17,625.29,2005.52,1352.49,202.3,1.16,22975.91,139.78,1115.8,302.85,7246.89,3.75,7.54,5.27,24.98,4.32,82.0,4.49
23Vin86_#1,18.3652,105.9669,North Central ,Winter-Spring season,0.45,3124.74,787.73,11.0,10.38,0.53,3.38,170.4,2091.28,749.63,172.92,525.66,9.38,46433.69,282.53,1383.18,79.04,29149.42,4.24,16.75,6.83,24.79,4.56,82.21,4.38
23Vin87_#1,18.403,105.9107,North Central ,Winter-Spring season,0.06,2018.24,552.22,14.55,24.96,2.34,0.19,69.36,1032.43,1163.18,495.35,78.7,2.92,18137.01,186.33,791.94,56.76,6286.64,3.86,4.82,4.29,24.85,4.39,81.44,4.33
23Vin88_#1,18.4409,105.7941,North Central ,Winter-Spring season,0.28,3143.3,810.09,13.69,1.01,1.29,2.48,165.6,1852.21,1119.66,467.96,236.98,8.55,55397.97,418.7,1412.46,88.48,26111.4,3.7,14.87,9.75,24.85,4.39,81.44,4.33
23Vin89_#1,18.5914,105.737,North Central ,Winter-Spring season,0.25,2482.81,760.42,14.52,,1.34,1.77,63.52,773.94,858.33,546.08,85.53,9.58,52591.25,137.08,953.43,60.45,16598.55,3.61,18.47,8.19,24.48,4.28,81.3,4.27
23Vin90_#1,19.1032,105.6014,North Central ,Winter-Spring season,0.37,3016.66,780.44,16.98,1.73,0.64,4.71,84.34,1465.59,608.44,391.97,130.07,8.37,57975.86,764.46,1374.74,368.13,30352.88,4.84,14.39,12.29,24.3,3.78,76.04,5.89
23Vin91_#1,19.1379,105.6342,North Central ,Winter-Spring season,0.45,2787.48,604.2,16.88,5.71,0.91,3.82,109.3,1352.24,492.95,366.03,94.56,11.05,75418.18,583.61,1262.97,678.46,40506.69,5.9,21.52,10.92,24.3,3.78,76.04,5.89
23Vin92_#1,19.1799,105.6704,North Central ,Winter-Spring season,0.3,3468.78,737.83,21.06,3.33,3.63,2.06,135.61,1561.76,622.29,930.72,189.56,16.28,119891.81,553.25,1217.89,1364.66,60156.0,5.17,33.38,11.12,24.3,3.78,76.04,5.89
23Vin93_#1,21.1414,105.4817,North,Winter-Spring season,0.22,1887.37,946.37,20.52,7.21,3.09,0.86,356.16,643.36,1512.93,980.77,270.83,10.11,109940.63,324.18,1402.23,156.72,36649.33,4.45,31.53,12.09,23.81,4.92,77.92,5.35
23Vin94_#1,21.1817,105.4411,North,Winter-Spring season,0.3,2836.72,761.18,16.91,0.74,2.82,4.19,186.24,1630.56,1008.13,826.18,262.54,11.35,75549.26,623.65,1116.17,300.14,44763.2,4.6,20.86,8.0,23.81,4.92,77.92,5.35
23Vin95_#1,21.2322,105.3906,North,Winter-Spring season,0.11,2954.3,958.36,23.63,0.1,3.9,0.37,96.22,1299.51,1099.35,1573.0,131.83,9.86,30049.68,350.99,963.57,147.08,26666.98,4.5,12.6,8.97,23.54,5.03,77.91,5.68
23Vin96_#1,21.285,105.4014,North,Winter-Spring season,0.18,2220.69,844.47,20.36,2.89,3.3,0.97,252.11,883.63,1309.23,984.51,235.94,12.46,88322.48,444.88,1097.52,184.6,41149.43,4.09,18.59,9.75,23.54,5.03,77.91,5.68
23Vin97_#1,21.3153,105.355,North,Winter-Spring season,0.26,2553.84,692.95,36.65,6.33,5.02,4.21,306.8,1455.82,1353.3,1526.28,241.44,19.88,119159.02,916.68,2048.15,630.79,60121.46,4.67,27.52,8.0,23.53,4.98,78.08,5.04
23Vin98_#1,21.2961,105.295,North,Winter-Spring season,0.25,2763.92,650.0,32.07,2.8,2.89,2.17,141.94,1662.51,1686.04,1566.67,167.72,11.78,77676.42,850.57,1020.17,801.62,39574.57,5.3,17.68,2.15,23.54,5.03,77.91,5.68
23Vin99_#1,21.4175,105.5206,North,Winter-Spring season,0.28,3699.95,875.92,21.89,45.5,2.12,2.94,242.55,1210.19,1128.25,616.13,180.84,17.37,119392.09,744.85,981.6,345.91,37809.13,4.45,21.36,4.88,23.38,4.91,78.73,4.99
23Vin100_#1,21.4053,105.6081,North,Winter-Spring season,0.14,3606.06,1079.49,28.75,10.85,3.27,2.29,998.52,1767.38,1736.65,1213.02,550.96,10.98,56792.86,659.27,1134.9,184.3,27720.15,4.32,12.2,4.49,23.38,4.91,78.73,4.99
23Vin101_#1,21.27,105.6633,North,Winter-Spring season,0.14,3086.68,932.36,16.19,21.19,5.23,1.16,341.53,916.95,1593.25,859.9,317.24,5.11,29574.42,661.46,733.89,409.44,16592.44,4.4,10.41,0.58,23.54,5.03,77.91,5.68
23Vin102_#1,19.8283,105.6311,North,Winter-Spring season,0.2,3729.39,971.76,20.89,4.76,4.23,2.8,386.24,916.47,1150.64,579.26,507.09,8.15,79730.82,373.33,922.88,142.22,28099.84,3.6,16.3,4.29,23.9,4.15,79.09,5.42
